Rank	Title	Sales	Platform(s)	Initial release date	Developer(s)[a]	Publisher(s)[a]	Ref
1	Minecraft	238,000,000[b]	Multi-platform[c]	November 18, 2011[d]	Mojang Studios	Mojang Studios	[4][5]
2	Grand Theft Auto V	150000000	Multi-platform	September 17, 2013	Rockstar North	Rockstar Games	[6]
3	Tetris (EA)	100000000	Mobile	September 12, 2006	EA Mobile	Electronic Arts	[7]
4	Wii Sports	82900000	Wii	November 19, 2006	Nintendo EAD	Nintendo	[8]
5	PlayerUnknown's Battlegrounds	70000000	Multi-platform	December 20, 2017	PUBG Corporation	PUBG Corporation	[9]
6	Super Mario Bros.	58000000	Multi-platform[e]	September 13, 1985	Nintendo	Nintendo	[f]
7	Pokémon Red / Green / Blue / Yellow	47520000	Game Boy / Color	February 27, 1996	Game Freak	Nintendo	[g]
8	Mario Kart 8 / Deluxe	45530000	Wii U / Switch	May 29, 2014	Nintendo EAD	Nintendo	[h]
9	Wii Fit / Plus	43800000	Wii	December 1, 2007	Nintendo EAD	Nintendo	[8]
10	Tetris (Nintendo)	43000000	Game Boy / NES	June 14, 1989	Nintendo R&D1	Nintendo	[i]
11	Pac-Man	40955092	Multi-platform[c]	May 22, 1980	Namco	Namco	[j]
12	Red Dead Redemption 2	38000000	Multi-platform	October 26, 2018	Rockstar Studios	Rockstar Games	[6]
13	Mario Kart Wii	37380000	Wii	April 10, 2008	Nintendo EAD	Nintendo	[8]
14	Terraria	35000000	Multi-platform[c]	May 16, 2011	Re-Logic	Re-Logic / 505 Games	[27]
15	Animal Crossing: New Horizons	33890000	Nintendo Switch	March 20, 2020	Nintendo EPD	Nintendo	[17]
16	Wii Sports Resort	33140000	Wii	June 25, 2009	Nintendo EAD	Nintendo	[8]
17	New Super Mario Bros.	30800000	Nintendo DS	May 15, 2006	Nintendo EAD	Nintendo	[28]
18	New Super Mario Bros. Wii	30320000	Wii	November 11, 2009	Nintendo EAD	Nintendo	[8]
19	The Elder Scrolls V: Skyrim	30000000	Multi-platform	November 11, 2011	Bethesda Game Studios	Bethesda Softworks	[29]
19	Call of Duty: Modern Warfare	30000000	Multi-platform	October 25, 2019	Infinity Ward	Activision	[30]
19	Diablo III / Reaper of Souls	30000000	Multi-platform	May 16, 2012	Blizzard Entertainment	Blizzard Entertainment	[31]
19	The Witcher 3 / Hearts of Stone / Blood and Wine	30000000	Multi-platform	May 19, 2015	CD Projekt Red	CD Projekt	[32]
19	Human: Fall Flat	30000000	Multi-platform	July 22, 2016	No Brakes Games	Curve Digital	[33]
24	Pokémon Gold / Silver / Crystal	29490000	Game Boy Color	November 21, 1999	Game Freak	Nintendo	[k]
25	Duck Hunt	28300000	NES	April 21, 1984	Nintendo R&D1	Nintendo	[35]
26	Wii Play	28020000	Wii	December 2, 2006	Nintendo EAD	Nintendo	[8]
27	Grand Theft Auto: San Andreas	27500000	Multi-platform	October 26, 2004	Rockstar North	Rockstar Games	[36]
28	Super Mario World	26662500	Multi-platform	November 21, 1990	Nintendo EAD	Nintendo	[l]
29	Call of Duty: Modern Warfare 3	26500000	Multi-platform	November 8, 2011	Infinity Ward / Sledgehammer	Activision	[38]
30	Call of Duty: Black Ops	26200000	Multi-platform	November 9, 2010	Treyarch	Activision	[38]
31	Pokémon Sun / Moon / Ultra Sun / Ultra Moon	25230000	Nintendo 3DS	November 18, 2016	Game Freak	Nintendo / The Pokémon Company	[m]
32	Grand Theft Auto IV	25000000	Multi-platform	April 29, 2008	Rockstar North	Rockstar Games	[40]
33	The Legend of Zelda: Breath of the Wild	24890000	Wii U / Switch	March 3, 2017	Nintendo EPD	Nintendo	[n]
34	Super Smash Bros. Ultimate	24770000	Nintendo Switch	December 7, 2018	Bandai Namco Studios / Sora Ltd.	Nintendo	[17]
35	Pokémon Diamond / Pearl / Platinum	24730000	Nintendo DS	September 28, 2006	Game Freak	Nintendo / The Pokémon Company	[o]
36	Super Mario Bros. 3	24430000	Multi-platform	October 23, 1988	Nintendo EAD	Nintendo	[p]
37	Call of Duty: Black Ops II	24200000	Multi-platform	November 12, 2012	Treyarch	Activision	[38]
38	Kinect Adventures!	24000000	Xbox 360	November 4, 2010	Good Science Studio	Xbox Game Studios	[44]
38	FIFA 18	24000000	Multi-platform	September 29, 2017	EA Canada	Electronic Arts	[45]
40	Sonic the Hedgehog	23982960	Multi-platform[c]	June 23, 1991	Sonic Team	Sega	[q]
41	Nintendogs	23960000	Nintendo DS	April 21, 2005	Nintendo EAD	Nintendo	[28]
42	Mario Kart DS	23600000	Nintendo DS	November 14, 2005	Nintendo EAD	Nintendo	[28]
43	Super Mario 64 / DS	22960000	Nintendo 64 / DS	June 23, 1996	Nintendo EAD	Nintendo	[37]
44	Call of Duty: Modern Warfare 2	22700000	Multi-platform	November 10, 2009	Infinity Ward	Activision	[38]
45	Pokémon Ruby / Sapphire / Emerald	22540000	Game Boy Advance	November 21, 2002	Game Freak	Nintendo / The Pokémon Company	[r]
46	Borderlands 2	22000000	Multi-platform	September 18, 2012	Gearbox Software	2K Games	[52]
47	Pokémon Sword / Shield	21850000	Nintendo Switch	November 15, 2019	Game Freak	Nintendo / The Pokémon Company	[17]
48	Super Mario Odyssey	21400000	Nintendo Switch	October 27, 2017	Nintendo EPD	Nintendo	[17]
49	Grand Theft Auto: Vice City	20000000	Multi-platform	October 27, 2002	Rockstar North	Rockstar Games	[53]
49	The Last of Us / Remastered	20000000	PS3 / PS4	June 14, 2013	Naughty Dog	Sony Computer Entertainment	[54]
49	Garry's Mod	20000000	Multi-platform	November 29, 2006	Facepunch Studios	Valve Corporation	[55]
49	Monster Hunter: World	20000000	Multi-platform	January 26, 2018	Capcom	Capcom	[56]
